season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,objectid,hour,date,month,is_weekend
Fall 2024,CR-Franklin,Franklin/Foxboro Line,751,0,day_type_01,weekday,2024-01-01 15:28:00,Foxboro,13.0,0,15,0,14627,15,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 08:30:00,Back Bay,2.0,18,28,54,14628,8,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 08:10:00,Providence,1.0,101,0,101,14629,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,756,1,day_type_01,weekday,2024-01-01 19:13:00,Dedham Corp Center,6.0,0,0,15,14630,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 13:15:00,Providence,1.0,58,0,58,14631,13,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,759,0,day_type_01,weekday,2024-01-01 22:12:00,Norwood Depot,13.0,2,2,11,14632,22,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:06:00,Foxboro,1.0,10,0,10,14633,16,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 08:33:00,Ruggles,3.0,18,5,67,14634,8,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 08:16:00,Pawtucket/Central Falls,2.0,70,0,171,14635,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,756,1,day_type_01,weekday,2024-01-01 19:16:00,Endicott,7.0,1,0,16,14636,19,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,759,0,day_type_01,weekday,2024-01-01 22:14:00,Norwood Central,14.0,0,2,9,14637,22,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 08:29:00,Attleboro,3.0,106,3,274,14638,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,756,1,day_type_01,weekday,2024-01-01 19:20:00,Readville,8.0,4,2,18,14639,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 08:42:00,Mansfield,4.0,99,2,371,14640,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,759,0,day_type_01,weekday,2024-01-01 22:17:00,Windsor Gardens,15.0,0,6,3,14641,22,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 13:21:00,Pawtucket/Central Falls,2.0,11,1,68,14642,13,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:19:00,Windsor Gardens,2.0,4,0,14,14643,16,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 08:44:00,Route 128,4.0,1,10,58,14644,8,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 13:34:00,Attleboro,3.0,9,1,76,14645,13,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 08:51:00,Sharon,5.0,75,2,444,14646,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,756,1,day_type_01,weekday,2024-01-01 19:31:00,Ruggles,9.0,5,3,20,14647,19,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,759,0,day_type_01,weekday,2024-01-01 22:34:00,Foxboro,16.0,0,3,0,14648,22,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 08:50:00,Canton Junction,5.0,0,2,56,14649,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:23:00,Norwood Central,3.0,5,2,17,14650,16,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 13:44:00,Mansfield,4.0,9,2,83,14651,13,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 08:56:00,Canton Junction,6.0,64,1,507,14652,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,756,1,day_type_01,weekday,2024-01-01 19:35:00,Back Bay,10.0,4,6,18,14653,19,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 22:49:00,Foxboro,1.0,2,0,2,14654,22,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 08:56:00,Sharon,6.0,6,3,59,14655,8,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:25:00,Norwood Depot,4.0,7,0,24,14656,16,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 13:53:00,Sharon,5.0,10,0,93,14657,13,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 09:01:00,Route 128,7.0,91,7,591,14658,9,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,756,1,day_type_01,weekday,2024-01-01 19:41:00,South Station,11.0,0,18,0,14659,19,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:02:00,Windsor Gardens,2.0,0,0,2,14660,23,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 09:04:00,Mansfield,7.0,2,4,57,14661,9,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:28:00,Islington,5.0,0,0,24,14662,16,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 13:58:00,Canton Junction,6.0,3,1,95,14663,13,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 09:17:00,Ruggles,8.0,3,112,482,14664,9,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:18:00,South Station,1.0,83,0,83,14665,19,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:05:00,Norwood Central,3.0,0,2,0,14666,23,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 09:12:00,Attleboro,8.0,2,13,46,14667,9,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:31:00,Dedham Corp Center,6.0,7,2,29,14668,16,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 09:21:00,Back Bay,9.0,0,188,294,14669,9,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:25:00,Newmarket,2.0,4,3,84,14670,19,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:07:00,Norwood Depot,4.0,0,0,0,14671,23,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 14:03:00,Route 128,7.0,5,6,94,14672,14,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:30:00,Uphams Corner,3.0,7,13,78,14673,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,812,1,day_type_01,weekday,2024-01-01 09:27:00,South Station,10.0,0,294,0,14674,9,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 09:21:00,Pawtucket/Central Falls,9.0,0,12,34,14675,9,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:34:00,Endicott,7.0,8,4,33,14676,16,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 11:18:00,South Station,1.0,43,0,43,14677,11,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:33:00,Four Corners/Geneva,4.0,0,9,69,14678,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 14:20:00,Ruggles,8.0,8,19,83,14679,14,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,807,0,day_type_01,weekday,2024-01-01 09:35:00,Providence,10.0,0,34,0,14680,9,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:10:00,Islington,5.0,0,0,0,14681,23,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 11:23:00,Back Bay,2.0,20,5,58,14682,11,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 16:39:00,Readville,8.0,0,5,28,14683,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:36:00,Talbot Avenue,5.0,1,11,59,14684,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 14:24:00,Back Bay,9.0,0,45,38,14685,14,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,808,1,day_type_01,weekday,2024-01-01 07:10:00,Providence,1.0,169,0,169,14686,7,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:13:00,Dedham Corp Center,6.0,1,0,1,14687,23,2024-01-01,1,0
